"state_name","county_fips","county_name","val_acc_vacc","val_wearing_mask","votes_gop","votes_dem","total_votes","per_gop","per_dem","population","income"
"Montana","30013","Cascade County","68.9229623","90.3289916","23315","15456","39885","0.584555597","0.387514103","81366","51732"
"North Carolina","37119","Mecklenburg County","70.3598001","95.2284239","179211","378107","567053","0.316039241","0.666793051","1110356","69455"
"Oklahoma","40143","Tulsa County","72.6178951","89.1392596","150574","108996","266678","0.564628503","0.40871763","651552","57668"
"Oregon","41053","Polk County","65.1792832","90.173824","23732","22917","48291","0.491437328","0.474560477","86085","69757"
"Pennsylvania","42091","Montgomery County","83.0250503","95.1358286","185460","319511","510157","0.363535147","0.626299355","830915","92340"
"South Carolina","45085","Sumter County","54.4800529","91.5203532","21000","27379","48920","0.429272281","0.559668847","106721","49611"
"Tennessee","47163","Sullivan County","68.619966","88.6133393","55860","17272","74357","0.751240636","0.232284788","158348","51303"
"Texas","48041","Brazos County","68.6078604","92.4156984","47530","35349","85061","0.558775467","0.415572354","229211","54471"
"Virginia","51107","Loudoun County","85.9787741","97.9278077","82088","138372","224862","0.365059459","0.61536409","413538","151806"
"Virginia","51177","Spotsylvania County","64.0231081","93.2757423","39411","34307","75317","0.523268319","0.455501414","136215","90262"
"West Virginia","54011","Cabell County","66.1438667","95.9556463","21721","14994","37360","0.581397216","0.40133833","91945","42125"
"Wisconsin","55009","Brown County","80.5138235","93.4156589","75871","65511","144017","0.52681975","0.454883798","264542","65494"
"Alabama","1069","Houston County","54.341342","83.332361","32618","12917","46173","0.706430165","0.279752236","105882","50138"
"Alabama","1083","Limestone County","58.4590262","90.618727","34640","13672","49235","0.703564537","0.277688636","98915","64729"
"Florida","12086","Miami-Dade County","73.7255305","95.8689863","532833","617864","1156816","0.460603069","0.534107412","2716940","54991"
"Florida","12105","Polk County","63.2332796","84.1059837","194586","145049","343256","0.566883026","0.422567996","724777","51817"
"Idaho","16001","Ada County","77.2779779","88.8294516","130699","120539","259389","0.503872562","0.464703592","481587","72295"
"Maryland","24033","Prince George's County","74.5722345","98.1289596","37090","379208","424855","0.087300373","0.892558638","909327","85357"
"Michigan","26099","Macomb County","66.2973804","96.1277935","263863","223952","494256","0.533858972","0.45310932","873972","65051"
"New Hampshire","33011","Hillsborough County","78.2302639","93.3212805","104625","122344","231040","0.452843663","0.529536011","417025","82862"
"New Hampshire","33015","Rockingham County","80.1220876","94.8794254","95858","100064","198943","0.481836506","0.50297824","309769","91416"
"New Jersey","34025","Monmouth County","74.3211209","93.9710926","191808","181291","378390","0.506905574","0.479111499","618795","102579"
"New Jersey","34029","Ocean County","65.9972008","93.7160339","217740","119456","342746","0.635280937","0.348526314","607186","75627"
"New Mexico","35043","Sandoval County","76.4184346","92.9244723","34174","40588","76562","0.446357201","0.530132442","146748","71118"
"New York","36061","New York County","86.8882954","97.4714766","85185","603040","694904","0.122585278","0.867803322","1628706","93007"
"North Carolina","37067","Forsyth County","67.7221061","93.0872394","85064","113033","201270","0.42263626","0.561598847","382295","53054"
"Oklahoma","40017","Canadian County","65.7222533","87.1198436","43550","16742","61940","0.703099774","0.270293833","148306","75111"
"Pennsylvania","42049","Erie County","74.5739747","90.5463396","66869","68286","137083","0.487799362","0.498136166","269728","51923"
"Rhode Island","44007","Providence County","77.123527","94.2800003","102551","165012","272667","0.376103452","0.605177744","638931","62165"
"South Carolina","45051","Horry County","62.1476558","86.2657472","118821","59180","179744","0.661056836","0.329246039","354081","53648"
"Texas","48187","Guadalupe County","63.2060371","96.3103734","47553","28805","77592","0.612859573","0.371236725","166847","78801"
"West Virginia","54033","Harrison County","60.9423157","88.4299256","20683","9215","30465","0.678910225","0.302478254","67256","53909"
"California","6075","San Francisco County","89.8189471","97.7946441","56417","378156","443458","0.127220616","0.852743665","881549","121795"
"Illinois","17099","LaSalle County","62.7598822","89.6056614","30113","22442","53683","0.56094108","0.418046681","108669","59528"
"Indiana","18089","Lake County","62.4041146","93.2358811","91760","124870","219956","0.417174344","0.56770445","485493","57280"
"Iowa","19153","Polk County","73.7727822","89.0155706","106800","146250","258755","0.412745647","0.565206469","490161","67331"
"Maryland","24005","Baltimore County","71.1384821","96.1477243","146202","258409","414932","0.352351711","0.622774334","827370","76972"
"Maryland","24031","Montgomery County","89.2934878","97.9022925","101222","419569","533743","0.189645578","0.786088061","1050688","110012"
"Massachusetts","25005","Bristol County","77.4279567","93.9681398","119872","153377","279279","0.429219526","0.549189162","565217","69857"
"Missouri","29077","Greene County","71.4071096","92.6098141","83630","55068","141800","0.58977433","0.388349788","293086","45313"
"Nevada","32031","Washoe County","75.6827121","93.9577343","116760","128128","252142","0.463072396","0.508158101","471519","71733"
"New York","36019","Clinton County","64.8237786","93.3299229","16514","18364","35437","0.466010102","0.518215425","80485","59069"
"New York","36045","Jefferson County","60.6820465","90.2608993","25629","17307","43848","0.584496442","0.394704433","109834","53829"
"North Carolina","37129","New Hanover County","76.0124717","92.3482616","63331","66138","131830","0.480398999","0.501691572","234473","57252"
"Ohio","39155","Trumbull County","67.1758914","91.8333223","55194","44519","101001","0.546469837","0.440777814","197974","47966"
"Oregon","41047","Marion County","63.4974815","89.9810488","79002","80872","165534","0.477255428","0.488552201","347818","64058"
"Pennsylvania","42129","Westmoreland County","73.6971743","93.3801546","130218","72129","205183","0.634643221","0.351534971","348899","59407"
"Rhode Island","44009","Washington County","84.886307","97.1778129","29818","44549","76060","0.392032606","0.585708651","125577","86450"
"South Carolina","45091","York County","65.5078866","89.5105499","82727","59008","144050","0.574293648","0.409635543","280979","68468"
"Tennessee","47009","Blount County","64.8950431","87.2460447","47369","17932","66609","0.711150145","0.269212869","133088","59368"
"Tennessee","47093","Knox County","75.3119475","93.5638013","124540","91422","220556","0.56466385","0.414506973","470313","60316"
"Texas","48485","Wichita County","52.0110221","85.9491675","32069","13161","46030","0.696697806","0.285922225","132230","51535"
"Vermont","50007","Chittenden County","88.7201761","96.7927552","21017","74961","98915","0.212475358","0.757832482","163774","76483"
"West Virginia","54107","Wood County","63.0603635","83.7261641","27202","10926","38762","0.701769775","0.281874","83518","49209"
"Wisconsin","55025","Dane County","89.5407289","96.8387769","78800","260185","344791","0.228544249","0.754616565","546695","77828"
"Arkansas","5131","Sebastian County","63.2965824","91.5173807","31198","14487","47140","0.661815868","0.307318625","127827","48945"
"California","6007","Butte County","73.1511106","89.0422053","48730","50426","102042","0.47754846","0.494169068","219186","58394"
"Colorado","8035","Douglas County","76.229761","91.9372218","121270","104653","231599","0.523620568","0.451871554","351154","123697"
"Florida","12073","Leon County","76.1973469","92.567028","57453","103517","162929","0.35262599","0.635350367","293582","55081"
"Illinois","17167","Sangamon County","71.561152","92.2924524","53485","48917","104751","0.510591784","0.466983609","194672","61768"
"New York","36071","Orange County","68.2236947","94.6863848","84996","84684","172099","0.493878523","0.492065613","384940","83188"
"North Carolina","37085","Harnett County","56.9003003","88.8963601","35177","22093","58293","0.603451529","0.378999194","135976","55619"
"Ohio","39061","Hamilton County","72.335754","93.6701509","177886","246266","430929","0.41279654","0.571476972","817473","60251"
"Oregon","41003","Benton County","84.0105499","94.2909284","14878","35827","52799","0.28178564","0.678554518","93053","69148"
"Pennsylvania","42085","Mercer County","63.2355131","88.7492985","36143","21067","57954","0.623649791","0.363512441","109424","54099"
"South Carolina","45015","Berkeley County","66.9052735","85.7934672","57397","45223","104458","0.54947443","0.432929981","227907","68690"
"South Carolina","45041","Florence County","58.9324595","90.65287","32615","31153","64510","0.50558053","0.482917377","138293","49770"
"Texas","48039","Brazoria County","67.0040612","86.0723601","90433","62228","154984","0.583498942","0.401512414","374264","83704"
"Utah","49035","Salt Lake County","77.4154607","94.9608569","230174","289906","541175","0.425322678","0.535697325","1160437","79941"
"Utah","49053","Washington County","62.3878881","86.4580164","67294","20530","90476","0.743777355","0.226911004","177556","64388"
"Virginia","51003","Albemarle County","89.7165518","97.0066641","20804","42466","64657","0.321759438","0.656788901","109330","86332"
"Virginia","51650","Hampton city","62.1419643","94.8518304","18430","46220","65901","0.279661917","0.701355063","134510","55816"
"Washington","53005","Benton County","75.6716155","88.0826716","60365","38706","103033","0.585880252","0.375666049","204390","72847"
"Washington","53073","Whatcom County","75.0384924","93.1635802","50489","83660","138620","0.364225941","0.603520416","229247","68656"
"West Virginia","54061","Monongalia County","76.8348418","93.7276989","20803","20282","42072","0.494461875","0.482078342","105612","55652"
"Wisconsin","55101","Racine County","66.9656635","89.9908516","54479","50159","106451","0.511775371","0.471193319","196311","61691"
"Arizona","4025","Yavapai County","68.0496775","86.9152013","91527","49602","143280","0.638798157","0.34618928","235099","54242"
"Arizona","4027","Yuma County","70.1248094","95.5299346","36534","32210","69926","0.522466608","0.460629809","213787","47024"
"Arkansas","5051","Garland County","69.011125","92.0314775","29069","14045","44199","0.657684563","0.31776737","99386","45786"
"Florida","12071","Lee County","63.1941536","84.0819672","233247","157695","393899","0.592149257","0.400343743","770577","62364"
"Georgia","13153","Houston County","61.9698816","84.2834714","41540","32239","74838","0.555065608","0.430783826","157863","65641"
"Illinois","17037","DeKalb County","63.284019","85.9587299","21905","24643","47989","0.456458772","0.513513514","104897","64676"
"Illinois","17097","Lake County","74.6907029","96.9842928","123594","204032","334156","0.369869163","0.610589066","696535","92638"
"Kansas","20177","Shawnee County","75.2803626","91.2679616","40443","43015","86122","0.469601263","0.499465874","176875","59451"
"Kentucky","21059","Daviess County","67.3799015","92.5617962","31025","17286","49287","0.629476333","0.350721286","101511","52620"
"Kentucky","21117","Kenton County","67.3564365","93.4800157","48129","32271","82198","0.585525195","0.392600793","166998","68692"
"Michigan","26111","Midland County","73.3387524","88.1494907","27675","20493","49088","0.563783409","0.417474739","83156","69859"
"Minnesota","27003","Anoka County","77.398532","92.448601","104902","100893","211132","0.496855048","0.477866927","356921","83363"
"New York","36101","Steuben County","68.7573196","92.1252568","29474","15790","46178","0.638269306","0.341937719","95379","53167"
"North Carolina","37019","Brunswick County","76.6965792","91.240625","55850","33310","90175","0.619351261","0.369392847","142820","63712"
"North Carolina","37101","Johnston County","62.4645099","88.4715317","68353","41257","111357","0.613818619","0.370493099","209339","62835"
"North Dakota","38017","Cass County","79.8734948","94.4388966","42619","40311","86053","0.495264546","0.468443866","181923","63977"
"Ohio","39153","Summit County","72.3338402","96.2822411","124833","151668","280473","0.445080275","0.540757934","541013","57753"
"Pennsylvania","42011","Berks County","73.7800664","93.9156484","109736","92895","205540","0.533891213","0.451955824","421164","67418"
"Texas","48061","Cameron County","76.9320645","98.8434507","49032","64063","114174","0.429449787","0.561099725","423163","40893"
"Texas","48121","Denton County","70.5109203","91.4860872","222480","188695","417964","0.532294647","0.451462327","887207","90910"
"Texas","48141","El Paso County","79.5530433","96.9865947","84331","178126","267215","0.315592313","0.6666018","839238","48629"
"Virginia","51199","York County","77.0634695","93.2471472","20241","17683","38787","0.521850104","0.455900173","68280","91535"
"Virginia","51710","Norfolk city","68.2876556","95.7955493","23443","64440","89881","0.260822643","0.716947965","242742","52437"
"Washington","53033","King County","89.0854561","97.1067126","269167","907310","1210507","0.222358896","0.749528916","2252782","102338"
"Wyoming","56025","Natrona County","51.6488933","77.0414169","25271","8530","35202","0.717885347","0.242315778","79858","66104"
"California","6017","El Dorado County","74.3558488","95.8782918","61838","51621","116138","0.532452772","0.444479843","192843","86202"
"Colorado","8077","Mesa County","63.4538642","85.895862","56894","31536","90622","0.627816645","0.347994968","154210","60249"
"Florida","12097","Osceola County","64.4429925","92.4894457","73480","97297","172436","0.426129115","0.564249925","375751","52270"
"Florida","12101","Pasco County","64.4616352","90.4053639","179621","119073","301970","0.594830612","0.394320628","553947","55745"
